Characteristic,Score*
"Mohammed V International Airport (CMN), Morocco",3.19
"LaGuardia Airport (LGA), United States",3.19
"Berlin Schönefeld Airport (SFX), Germany",3.22
"Rome Fiumicino Airport (FCO), Italy",3.34
"Marrakesh Menara Airport (RAK), Morocco",3.38
"Rome Ciampino Airport (CIA), Italy",3.44
"Mexico City International Airport (MEX), Mexico",3.47
"Berlin Tegel Airport (TXL), Germany",3.47
"London Stansted Airport (STN), United Kingdom",3.52
"Budapest Ferihegy International Airport (BUD), Hungary",3.54
