Characteristic,Box office gross in million U.S. dollars
Star Wars: The Last Jedi,1332.4
Beauty and the Beast,1263.5
The Fate of the Furious,1236.0
Despicable Me 3,1034.8
Jumanji: Welcome to the Jungle,957.7
Spider-Man: Homecoming,880.2
Wolf Warrior 2,870.3
Guardians of the Galaxy Vol. 2,863.8
Thor: Ragnarok,854.0
Wonder Woman,821.8
Coco,800.5
Pirates of the Caribbean: Dead Men Tell No Tales,794.9
It,700.4
Justice League,657.9
Logan,619.0
Transformers: The Last Knight,605.4
Kong: Skull Island,566.7
The Boss Baby,528.0
Dunkirk,525.2
War for the Planet of the Apes,490.7
