Characteristic,Number of cancer deaths
Lung,1796144
Colorectum,935173
Liver,830180
Stomach,768793
Breast,684996
Oesophagus,544076
Pancreas,466003
Prostate,375304
Cervixuteri,341831
Leukaemia,311594
Non-Hodgkinlymphoma,259793
"Brain,centralnervoussystem",251329
Bladder,212536
Ovary,207252
Kidney,179368
"Lip,oralcavity",177757
Multiplemyeloma,117077
Larynx,99840
Corpusuteri,97370
Gallbladder,84695
Nasopharynx,80008
Melanomaofskin,57043
Oropharynx,48143
Thyroid,43646
Hypopharynx,38599
Mesothelioma,26278
Hodgkinlymphoma,23376
Salivaryglands,22778
Vulva,17427
Kaposisarcoma,15086
Penis,13211
Testis,9334
Vagina,7995
