Characteristic,Number of recoveries
India,28491670
Indonesia,1763870
Philippines,1257774
Pakistan,887095
Bangladesh,773752
Japan,740213
Malaysia,600935
Nepal,543521
Sri Lanka,194145
Thailand,172316
South Korea,141029
Myanmar,133216
China,86384
Maldives,63180
Afghanistan,62397
Singapore,61931
Mongolia,59220
Cambodia,35030
Australia,29189
Papua New Guinea,16132
Hong Kong,11600
Taiwan,8042
Timor-Leste,7184
Vietnam,4590
New Zealand,2663
Laos,1924
Bhutan,1501
Fiji,388
Brunei,239
Macao,51
Solomon Islands,20
Vanuatu,3
