Characteristic,Fertility rate
2020,1.85
2015,1.9
2010,1.89
2005,1.67
2000,1.56
1995,2.01
1990,1.91
1985,1.64
1980,1.66
1975,1.91
1970,2.17
1965,2.31
1960,2.25
1955,2.24
1950,2.43
1945,2.32
1940,1.79
1935,1.74
1930,2.03
1925,2.55
1920,2.89
1915,3.26
1910,3.67
1905,3.84
1900,3.96
1895,4.0
1890,4.25
1885,4.32
1880,4.51
1875,4.47
1870,4.23
1865,4.59
1860,4.53
1855,4.33
1850,4.37
1845,4.43
1840,4.34
1835,4.59
1830,4.75
1825,5.08
1820,4.78
1815,4.67
1810,4.31
1805,4.45
1800,4.07
