Characteristic,Low expectation,Medium expectation,High expectation
2036,83864.5,88142.9,90239.6
2035,84509.6,88458.6,90453.2
2034,84918.2,88540.7,90430.1
2033,85216.9,88515.7,90295.2
2032,85320.2,88301.0,89955.9
2031,85359.7,88028.8,89548.5
2030,85474.9,87839.9,89216.6
2029,85534.7,87602.3,88826.2
2028,85638.2,87415.6,88481.3
2027,84210.0,85674.8,86561.7
2026,84572.5,85765.8,86506.0
2025,83228.6,84146.2,84726.3
2024,83668.1,84345.7,84791.4
2023,82393.6,82845.8,83157.1
2022,83173.9,83441.0,83641.9
2021,81974.0,82088.9,82191.3
