Characteristic,United Kingdom,England & Wales,Scotland,Northern Ireland
2002/03,20.5,17.9,25.0,26.5
2003/04,17.5,14.7,22.0,19.4
2004/05,17.4,14.7,27.0,23.9
2005/06,14.7,13.2,19.0,16.8
2006/07,14.8,13.2,23.4,13.8
2007/08,15.0,13.4,22.2,17.0
2008/09,12.7,11.6,19.0,14.6
2009/10,11.6,10.8,15.6,12.3
2010/11,12.2,11.3,19.0,15.5
2011/12,10.6,9.4,17.5,13.2
2012/13,10.1,9.6,11.9,11.0
2013/14,9.6,9.1,11.6,11.5
2014/15,9.7,8.9,11.8,13.6
2015/16,10.1,9.4,11.0,11.3
2016/17,12.1,11.6,12.0,9.1
2017/18,12.1,12.0,10.9,14.4
2018/19,11.6,11.4,11.6,15.4
2019/20,12.1,12.2,11.7,10.6
