Characteristic,Gross domestic product in billion U.S. dollars
2026*,2.4
2025*,2.26
2024*,2.12
2023*,1.98
2022*,1.81
2021*,1.64
2020*,1.57
2019,1.58
2018,1.57
2017,1.46
2016,1.38
2015,1.31
2014,1.34
2013,1.29
2012,1.19
2011,1.05
2010,0.85
2009,0.74
2008,0.7
2007,0.62
2006,0.54
2005,0.48
2004,0.4
2003,0.35
2002,0.36
2001,0.42
2000,0.43
1999,0.5
1998,0.46
1997,0.53
1996,0.51
1995,0.46
1994,0.39
1993,0.29
1992,0.26
1991,0.22
1990,0.21
1989,0.17
1988,0.17
1987,0.15
1986,0.14
