Characteristic,Minimum wage in U.S. dollars
District of Columbia,15.0
California*,14.0
Wisconsin,13.69
Washington,13.69
Massachusetts,13.5
New York******,12.5
Colorado,12.32
Maine,12.15
Arizona,12.15
Connecticut,12.0
New Jersey,12.0
Oregon,12.0
Maryland,11.75
Vermont,11.75
Rhode Island,11.5
Arkansas,11.0
Illinois,11.0
New Mexico,10.5
Alaska,10.34
Missouri,10.3
Hawaii,10.1
Minnesota***,10.08
Michigan,9.65
South Dakota,9.45
Delaware,9.25
Nevada*****,9.0
Nebraska,9.0
Ohio*******,8.8
Montana****,8.75
West Virginia,8.75
Florida,8.65
Pennsylvania,7.25
Oklahoma********,7.25
Kentucky,7.25
Kansas,7.25
Iowa,7.25
Indiana,7.25
Virginia,7.25
Idaho,7.25
North Dakota,7.25
New Hampshire,7.25
Texas,7.25
Utah,7.25
North Carolina,7.25
Georgia**,5.15
Wyoming,5.15
