Characteristic,Inflation rate compared to previous year
2026*,5%
2025*,5%
2024*,5.01%
2023*,5.12%
2022*,5.49%
2021*,5.95%
2020*,5.93%
2019*,7.12%
2018,6.52%
2017,8.05%
2016,7.23%
2015,6.81%
2014,6.26%
2013,5.24%
2012,4.65%
2011,4.8%
2010,5.05%
2009,4.55%
2008,4.45%
2007,5.37%
2006,2.06%
2005,4.96%
2004,14.29%
2003,17.03%
2002,8.61%
2001,4.49%
2000,0.85%
1999,3.81%
1998,1.11%
1997,2.78%
1996,1.1%
1995,6.98%
1994,1.71%
1993,6.47%
1992,9.48%
1991,8.64%
1990,12.17%
1989,8.26%
1988,11.55%
1987,23.71%
1986,56.56%
