Characteristic,Compound annual sales growth (over 2 years)*
Boparan Holdings,67.1%
Ellas's Kitchen Group,60%
JDM Food Group,58.3%
Vistgate,45.6%
Westbridge Food Group,43.5%
Aspall Cyder,43%
Severn & WYE Smokery,41.1%
W Simpson,40.4%
Nigel Fredericks,36.7%
Summit Food Holdings,35.9%
UIN Foods,34.5%
Thatchers Holdings,34.4%
Bread Holdings,34.1%
Lynn's Country Foods,33.9%
Tyrrells Group Holdings,32.9%
Cornish Farm Dairy,31.8%
Lincoln & York,31.7%
Frylite,28.8%
Harder Bros,28.7%
Frampton Holdings,27.3%
Whitworths Holdings,26.5%
Interfish,26.3%
Wellpak Group,26.1%
Fullers Foods International,25.8%
The Benriach Distillery Company,25.4%
