Characteristic,Share of respondents
"Apr 11, 2021",29%
"Mar 28, 2021",28%
"Mar 14, 2021",34%
"Feb 28, 2021",40%
"Feb 14, 2021",42%
"Jan 31, 2021",44%
"Jan 17, 2021",42%
"Jan 3, 2021",36%
"Dec 20, 2020",40%
"Dec 6, 2020",40%
"Nov 22, 2020",43%
"Nov 8, 2020",42%
"Oct 25, 2020",40%
"Oct 11, 2020",28%
"Sep 27, 2020",21%
"Sep 13, 2020",23%
"Aug 30, 2020",26%
"Aug 16, 2020",30%
"Aug 2, 2020",27%
"Jul 19, 2020",37%
"Jul 5, 2020",42%
"Jun 21, 2020",46%
"Jun 7, 2020",50%
"May 24, 2020",57%
"May 3, 2020",68%
"Apr 26, 2020",69%
"Apr 19, 2020",68%
"Apr 12, 2020",68%
"Apr 5, 2020",70%
"Mar 29, 2020",67%
"Mar 22, 2020",55%
"Mar 15, 2020",14%
"Mar 8, 2020",10%
"Mar 3, 2020",8%
"Feb 23, 2020",8%
