Characteristic,Number of users in millions
Q1 '21,1878
Q4 '20,1845
Q3 '20,1820
Q2 '20,1785
Q1 '20,1734
Q4 '19,1657
Q3 '19,1623
Q2 '19,1587
Q1 '19,1562
Q4 '18,1523
Q3 '18,1495
Q2 '18,1471
Q1 '18,1449
Q4 '17,1401
Q3 '17,1368
Q2 '17,1325
Q1 '17,1284
Q4 '16,1227
Q3 '16,1179
Q2 '16,1128
Q1 '16,1090
Q4 '15,1038
Q3 '15,1007
Q2 '15,968
Q1 '15,936
Q4 '14,890
Q3 '14,864
Q2 '14,829
Q1 '14,802
Q4 '13,757
Q3 '13,728
Q2 '13,699
Q1 '13,665
Q4 '12,618
Q3 '12,584
Q2 '12,552
Q1 '12,526
Q4 '11,483
Q3 '11,457
Q2 '11,417
Q1 '11,372
