Characteristic,Market value in million euros
Granit Xhaka,40.0
Manuel Akanji,22.0
Denis Zakaria,20.0
Xherdan Shaqiri,18.0
Breel Embolo,18.0
Nico Elvedi,17.0
Ricardo Rodríguez,15.0
Remo Freuler,14.0
Yann Sommer,8.0
Roman Bürki,7.0
Steven Zuber,7.0
Michael Lang,5.75
Haris Seferovic,4.0
Josip Drmic,3.5
Mario Gavranovic,3.0
Fabian Schär,3.0
Yvon Mvogo,3.0
Blerim Dzemail,2.5
François Moubandje,2.5
Stephan Lichtsteiner,1.5
Gelson Fernandes,1.5
Valon Behrami,1.0
Johan Djourou,0.85
