Characteristic,"Rate per 1,000 women aged 15-19"
1973,23.0
1974,27.3
1975,31.5
1976,34.6
1977,37.8
1978,40.0
1979,42.8
1980,43.3
1981,43.4
1982,43.2
1983,43.7
1984,43.4
1985,44.0
1986,42.8
1987,42.3
1988,44.0
1989,42.5
1990,41.1
1991,37.9
1992,35.7
1993,34.4
1994,32.1
1995,29.9
1996,29.0
1997,27.5
1998,26.2
1999,25.1
2000,24.3
2001,22.9
2002,21.5
2003,20.8
2004,19.9
2005,19.1
2006,19.3
2007,18.6
2008,18.1
2009,16.6
2010,15.0
2011,13.5
2012,11.9
2013,10.6
2014,9.4
2015,8.5
2016,7.9
2017,7.6
