Characteristic,Securities in billion U.S. dollars
Japan,1240.3
"China, Mainland",1100.4
United Kingdom,443.2
Ireland,309.8
Luxembourg,282.8
Brazil,255.5
Switzerland,254.8
Belgium,235.8
Taiwan,231.5
Hong Kong,227.0
Cayman Islands,215.2
India,200.0
Singapore,170.2
Saudi Arabia,130.8
Korea,122.9
France,114.9
Canada,106.0
Norway,94.4
Germany,77.6
Thailand,66.9
Bermuda,66.3
Netherlands,65.8
Israel,61.0
Poland,52.6
Philippines,50.9
Mexico,48.0
Kuwait,45.7
United Arab Emirates,45.6
Australia,41.3
Sweden,40.0
Chile,38.3
Vietnam,37.8
Italy,36.5
Colombia,35.2
All Other,483.6
