Characteristic,Points scored
"Austin Carr (Notre Dame vs. Ohio, 1970)",61
"Bill Bradley (Princeton vs. Wichita, 1965)",58
"Oscar Robertson (Cincinnati vs. Arkansas, 1958)",56
"Austin Carr (Notre Dame vs. Kentucky, 1970)",52
"Austin Carr (Notre Dame vs. TCU, 1971)",52
"David Robinson ( Navy vs. Michigan, 1987)",50
"Elvin Hayes (Houston vs. Loyola Chicago, 1968)",49
"Hal Lear (Temple vs. SMU, 1956)",48
"Austin Carr (Notre Dame vs. Houston, 1971)",47
"Dave Corzine ( DePaul vs. Louisville, 1978)",46
"Bob Houbregs (Washington vs. Seattle U., 1953)",45
"Austin Carr (Notre Dame vs. Iowa, 1970)",45
"Bo Kimble (LMU (CA) vs. New Mexico St., 1990)",45
"Clyde Lovellette ( Kansas vs. Saint Louis, 1952)",44
"Rod Thorn (West Virginia vs. Saint Joseph’s, 1963)",44
"Dan Issel (Kentucky vs. Notre Dame, 1970)",44
"Bill Walton (UCLA vs. Memphis, 1973)",44
"Hersey Hawkins (Bradley vs. Auburn, 1988)",44
"Travis Mays (Texas vs. Georgia, 1990)",44
"Glenn Robinson (Purdue vs. Kansas, 1994)",44
