Characteristic,Value of M&A deals in billion U.S. dollars
Goldman Sachs & Co,321.42
Citigroup,240.99
Morgan Stanley,230.59
JPMorgan Chase & Co,213.42
BofA Securities Inc.,207.65
Credit Suisse,114.73
"Evercore, Inc",107.61
Barclays Plc,95.06
"PJT Partners, Inc.",90.51
Guggenheim Capital LLC,78.24
Deutsche Bank AG,75.59
Jefferies LLC,63.44
UBS Group AG,56.33
Lazard,43.16
Centerview Partners LLC,35.31
Bank of Montreal,32.54
Societe Generale SA,27.23
Moelis & Co,27.14
PricewaterhouseCoopers,23.1
RBC Capital Markets,21.95
