Characteristic,Payroll in million U.S. dollars
Portland Trail Blazers,133
Golden State Warriors,129
Miami Heat,126
Minnesota Timberwolves,126
Milwaukee Bucks,125
Houston Rockets,124
Oklahoma City Thunder,123
Detroit Pistons,123
Denver Nuggets,123
Orlando Magic,122
Los Angeles Clippers,122
Philadelphia 76ers,120
Cleveland Cavaliers,120
Memphis Grizzlies,118
Washington Wizards,117
Utah Jazz,116
San Antonio Spurs,115
Toronto Raptors,115
Los Angeles Lakers,114
Charlotte Hornets,114
Phoenix Suns,112
Dallas Mavericks,112
New Orleans Pelicans,111
Atlanta Hawks,111
Boston Celtics,109
Indiana Pacers,106
Chicago Bulls,106
New York Knicks,103
Sacramento Kings,100
Brooklyn Nets (New Jersey Nets),98
