Characteristic,Gross domestic product in billion U.S. dollars
2026*,198.84
2025*,190.78
2024*,183.6
2023*,178.28
2022*,174.38
2021*,166.03
2020*,146.09
2019,175.84
2018,183.34
2017,161.1
2016,151.73
2015,161.74
2014,206.23
2013,198.73
2012,186.83
2011,167.78
2010,119.71
2009,88.2
2008,112.62
2007,75.99
2006,58.63
2005,44.64
2004,30.65
2003,23.72
2002,19.33
2001,17.5
2000,18.09
1999,11.27
1998,8.49
1997,9.98
1996,7.76
1995,6.86
1994,5.95
1993,5.8
1992,6.38
1991,5.58
1990,6.27
1989,4.5
1988,4.26
1987,4.44
1986,4.21
