Characteristic,Market share
Q1 '21,16.5%
Q4 '20,16.6%
Q3 '20,15.2%
Q2 '20,16.4%
Q1 '20,19.3%
Q4 '19,16.9%
Q3 '19,16.5%
Q2 '19,16.9%
Q1 '19,16.9%
Q4 '18,15.7%
Q3 '18,15.9%
Q2 '18,16.8%
Q1 '18,16%
Q4 '17,15%
Q3 '17,15.2%
Q2 '17,15.6%
Q1 '17,15%
Q4 '16,14.8%
Q3 '16,14.7%
Q2 '16,14.7%
Q1 '16,14.2%
Q4 '15,13.5%
Q3 '15,13.5%
Q2 '15,14%
Q1 '15,12.8%
Q4 '14,13.1%
Q3 '14,12.7%
Q2 '14,13.3%
Q1 '14,12.6%
Q4 '13,11.8%
Q3 '13,11.6%
Q2 '13,11.9%
Q1 '13,11.2%
Q4 '12,10.4%
Q3 '12,10.5%
Q2 '12,11.3%
Q1 '12,11%
Q4 '11,12.2%
Q3 '11,11.2%
Q2 '11,12.1%
Q1 '11,11.4%
