Characteristic,Ticket price in U.S. dollars
Toronto Maple Leafs*,113.66
Boston Bruins,88.7
Vancouver Canucks*,84.87
Winnipeg Jets*,79.28
Chicago Blackhawks,78.8
New York Rangers,77.87
Philadelphia Flyers,74.65
Montreal Canadiens*,73.67
Pittsburgh Penguins,73.59
Edmonton Oilers*,72.63
Washington Capitals,70.98
Minnesota Wild,67.06
Los Angeles Kings,66.25
Calgary Flames*,63.07
League average,62.18
Nashville Predators,62.16
Carolina Hurricanes,61.04
San Jose Sharks,54.68
St. Louis Blues,53.33
Ottawa Senators*,51.76
Buffalo Sabres,49.72
New York Islanders,49.21
Detroit Red Wings,49.16
Columbus Blue Jackets,48.9
New Jersey Devils,47.71
Colorado Avalanche,47.56
Anaheim Ducks,45.1
Tampa Bay Lightning,44.5
Dallas Stars,37.28
Florida Panthers,33.39
Phoenix Coyotes**,-
