Characteristic,Number of tests
Brazil,50127012
Colombia,17912045
Chile,15443833
Argentina,14963643
Peru,13325242
Mexico,7189826
Cuba,4552905
Venezuela,3359014
Panama,2763242
Uruguay,2485681
Bolivia,1611615
Dominican Republic,1607078
Guatemala,1480193
Ecuador,1458828
Paraguay,1386573
Costa Rica,1309540
El Salvador,1017902
Honduras,743097
Jamaica,400389
Trinidad and Tobago,205495
Barbados,175046
Guyana,165757
Belize,140170
Bahamas,100530
Haiti,78029
Suriname,68542
Saint Lucia,50151
Grenada,28684
Dominica,17381
Saint Kitts and Nevis,16831
Antigua and Barbuda,16700
