Characteristic,Net sales in million U.S. dollars
4Q '20,1351.41
3Q '20,1109.19
2Q '20,869.87
1Q '20,856.11
4Q '19,1102.23
3Q '19,934.38
2Q '19,954.84
1Q '19,766.05
4Q '18,932.11
3Q '18,810.01
2Q '18,894.45
1Q '18,710.87
4Q '17,888.5
3Q '17,743.08
2Q '17,813.49
1Q '17,641.51
4Q '16,860.77
3Q '16,722.25
2Q '16,811.61
1Q '16,624.04
4Q '15,781.36
3Q '15,679.69
2Q '15,773.83
1Q '15,585.39
4Q '14,803.3
3Q '14,706.28
2Q '14,777.85
1Q '14,583.22
4Q '13,759.69
3Q '13,643.64
2Q '13,696.56
1Q '13,531.96
4Q '12,769.0
3Q '12,672.38
2Q '12,718.0
1Q '12,556.6
4Q '11,910.0
3Q '11,666.99
2Q '11,674.1
1Q '11,507.83
4Q '10,837.72
3Q '10,692.36
2Q '10,728.77
1Q '10,431.07
4Q '09,1059.38
3Q '09,781.25
2Q '09,669.1
1Q '09,436.7
