Characteristic,GDP per capita in U.S. dollars
2026*,1130.79
2025*,1077.49
2024*,1026.86
2023*,977.06
2022*,928.71
2021*,876.03
2020*,790.97
2019*,774.87
2018,820.53
2017,738.01
2016,687.48
2015,653.39
2014,793.05
2013,787.48
2012,758.48
2011,751.04
2010,648.37
2009,623.5
2008,643.33
2007,535.13
2006,473.48
2005,458.19
2004,418.19
2003,374.53
2002,294.46
2001,267.1
2000,255.08
1999,300.31
1998,287.6
1997,258.11
1996,280.45
1995,265.24
1994,220.47
1993,376.71
1992,406.07
1991,389.6
1990,395.88
1989,342.86
1988,352.1
1987,327.43
1986,288.78
