Characteristic,Matchday,Broadcasting,Commercial
FC Barcelona,159.2,298.1,383.5
Real Madrid,144.8,257.9,354.6
Manchester United,120.6,273.7,317.2
Bayern Munich,92.4,211.2,356.5
Paris Saint-Germain,115.9,156.6,363.4
Manchester City,62.4,287.2,261.0
Liverpool,94.5,299.3,210.9
Tottenham Hotspur,92.5,276.7,151.9
Chelsea,75.6,227.1,210.4
Juventus,65.6,208.5,185.6
Arsenal,109.2,210.6,125.8
Borussia Dortmund,59.6,167.3,150.2
Atlético de Madrid,58.6,209.4,99.6
FC Internazionale Milano,50.9,159.2,154.5
Schalke 04,53.6,161.1,110.1
AS Roma,31.8,144.5,54.7
Olympique Lyonnais,41.8,122.0,57.0
West Ham United,30.8,144.5,41.1
Everton,16.6,151.7,44.7
SSC Napoli,15.9,145.1,46.4
