Company (Country of origin),Retail sales in billion U.S. dollars
Walmart Inc (United States),523.96
"Amazon.com, Inc. (United States)",158.44
Costco Wholesale Corporation (United States),152.7
The Kroger Co. (United States),121.54
"Walgreens Boots Alliance, Inc. (United States)",115.99
Home Depot (United States),110.23
CVS Health Corporation (United States),86.61
Target Corporation (United States),77.13
"Lowe's Companies, Inc. (United States)",72.15
"Albertsons Companies, Inc. (United States)",62.46
