Characteristic,Brand value in million dollars
Penrith Panthers (NRL),46.2
Collingwood Magpies (AFL),39.1
Canterbury-Bankstown Bulldogs (NRL),34.5
West Coast Eagles (NRL),32.6
Hawthorn Hawks (AFL),27.1
Geelong Cats (AFL),26.8
Carlton Blues (AFL),25.3
Fremantle Dockers (AFL),24.3
Essendon Bombers (AFL),24.0
Sydney Swans (AFL),22.7
Parramatta Eels (NRL),21.3
Richmond Tigers (AFL),21.1
Adelaide Crows (AFL),20.9
Brisbane Lions (AFL),20.4
Brisbane Broncos (NRL),18.6
Port Adelaide Power (AFL),17.8
St Kilda Saints (AFL),16.5
Canberra Raiders (NRL),16.0
Melbourne Demons (AFL),15.0
Sydney Roosters (NRL),14.5
