Characteristic,Percent change in population
"Austin-Round Rock-Georgetown, TX",29.8%
"Raleigh-Cary, NC",23%
"Orlando-Kissimmee-Sanford, FL",22.2%
"Charleston-North Charleston, SC",20.7%
"Houston-The Woodlands-Sugar Land, TX",19.4%
"North Port-Sarasota-Bradenton, FL",19.2%
"San Antonio-New Braunfels, TX",19.1%
"Dallas-Fort Worth-Arlington, TX",19%
"Phoenix-Mesa-Chandler, AZ",18%
"Charlotte-Concord-Gastonia, NC-SC",17.5%
"Nashville-Davidson--Murfreesboro--Franklin, TN",17.5%
"Denver-Aurora-Lakewood, CO",16.7%
"Las Vegas-Henderson-Paradise, NV",16.2%
"Jacksonville, FL",15.9%
"Seattle-Tacoma-Bellevue, WA",15.7%
"Tampa-St Petersburg-Clearwater, FL",14.8%
"Atlanta-Sandy Springs-Alpharetta, GA",13.9%
"Salt Lake City, UT",13.3%
"Oklahoma City, OK",12.4%
"McAllen-Edinburg-Mission, TX",12.1%
