Characteristic,Production value in million euros
United Kingdom,314062.0
Germany*,311194.9
France,309259.1
Italy,166843.7
Spain*,150361.1
Netherlands,105000.5
Sweden*,81864.7
Poland*,78186.1
Belgium*,68495.8
Switzerland,67459.6
Norway*,62224.4
Austria*,52893.8
Finland,38638.7
Denmark*,38048.0
Czechia,32958.4
Ireland,29639.8
Romania*,20458.2
Portugal,20150.7
Hungary*,14065.0
Slovakia,11078.3
Greece*,9308.6
Bulgaria*,8051.8
Croatia,6519.2
Luxembourg,6251.4
Lithuania*,6172.0
Slovenia,5580.2
Latvia,4707.8
Estonia*,3890.8
Cyprus,3578.0
Iceland,2147.4
Bosnia and Herzegovina,1805.8
Malta,1251.6
North Macedonia,1245.0
