Characteristic,2014,2015,2016
Estonia,10785,12274,13292
Netherlands,9095,9599,10173
Latvia,6252,7164,7512
Finland,4598,5215,5289
Greece,4052,4249,4624
Ireland,4643,4511,4469
Slovakia,4243,4200,4200
Malta,3886,3963,4119
Slovenia,3483,3503,3541
Belgium,3093,3196,3367
Germany,2295,2402,2575
Luxembourg,2526,2553,2537
Average for euro area,2102,2169,2278
Austria,2012,2108,2221
Portugal,1752,1900,2096
Italy,1979,1993,2067
France,1762,1773,1794
Spain,1452,1493,1613
Cyprus,1386,1506,1568
