Entrepreneur (source of wealth),Net worth in billion U.S. dollars
Michael Bloomberg(Bloomberg L.P.),31.0
Anne Cox Chambers(Cox Enterprises),13.5
Rupert Murdoch(News Corp.),13.4
"Samuel Newhouse, Jr.(Advance Publications)",8.9
Donald Newhouse(Advance Publications),8.2
Jim Kennedy(Cox Enterprises),6.7
John Malone(Liberty Media),6.7
Blair Parry-Okeden(Cox Enterprises),6.7
David Geffen(films and music),6.0
Sumner Redstone(Viacom/CBS),5.8
Patrick McGovern(International Data Group),5.1
George Lucas(films),4.2
Martha Ingram(books),3.4
Haim Saban(TV),3.4
Charles Dolan(Cablevision),3.3
