Characteristic,Consumer price index (2015 = 100)
May 2020,111.48
Apr 2020,111.01
Mar 2020,110.93
Feb 2020,110.87
Jan 2020,109.31
Dec 2019,109.86
Nov 2019,110.28
Oct 2019,110.39
Sep 2019,110.06
Aug 2019,110.89
Jul 2019,109.92
Jun 2019,110.9
May 2019,110.12
Apr 2019,107.75
Mar 2019,108.23
Feb 2019,108.79
Jan 2019,109.73
Dec 2018,105.31
Nov 2018,106.14
Oct 2018,107.39
Sep 2018,107.19
Aug 2018,107.97
Jul 2018,107.71
Jun 2018,109.33
May 2018,108.39
Apr 2018,108.71
Mar 2018,109.04
Feb 2018,109.67
Jan 2018,108.56
