Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",429.79
Professional and business services,195.14
Information,172.1
Government and government enterprises,148.37
"Educational services, health care, and social assistance",135.38
Retail trade,64.46
"Arts, entertainment, recreation, accommodation, and food services",36.94
Wholesale trade,61.27
Manufacturing,60.82
Construction,35.44
Transportation and warehousing,26.07
Utilities,20.93
"Agriculture, forestry, fishing, and hunting",3.76
"Mining, quarrying, and oil and gas extraction",1.03
