Characteristic,Revenue in million GBP
Q4 2020,5286
Q3 2020,5477
Q2 2020,5357
Q1 2020,5250
Q4 2019,5632
Q3 2019,5779
Q2 2019,5780
Q1 2019,5633
Q4 2018,5853
Q3 2018,5982
Q2 2018,5908
Q1 2018,5716
Q4 2017,5926
Q3 2017,6065
Q2 2017,5935
Q1 2017,5835
Q4 2016,6089
Q3 2016,6166
Q2 2016,6074
Q1 2016,5778
Q4 2015,5640
Q3 2015,4587
Q2 2015,4377
Q1 2015,4275
Q4 2014,4639
Q3 2014,4599
Q2 2014,4383
Q1 2014,4354
Q4 2013,4748
Q3 2013,4599
Q2 2013,4491
Q1 2013,4449
Q4 2012,4815
Q3 2012,4527
Q2 2012,4493
Q1 2012,4504
