Characteristic,Payroll in thousand U.S. dollars
Michael Bradley,6500.0
Jozy Altidore,6332.25
Alejandro Pozuelo Melero,3800.0
Omar  Gonzalez,1193.94
Jonathan Osorio,776.25
Chris Mavinga,663.33
Nicolas  Benezet,600.0
Laurent Ciman,435.63
Alex Bono,382.0
Drew Moor,375.0
Justin Morrow,330.0
Erickson  Gallardo,306.92
Eriq Zavaleta,296.96
Auro,276.67
Patrick  Mullins,260.0
Marco Delgado,253.0
Nick DeLeon,175.27
Jay Chapman,138.5
Griffin Dorsey,134.0
Ashtone Morgan,133.5
Ayo Akinola,124.26
Quentin Westberg,115.25
Liam Fraser,75.88
Tsubasa Endoh,75.58
Caleb Patterson-Sewell,70.88
Jon Bakero,70.25
Ryan Telfer,70.25
Noble Okello,68.06
Jacob  Shaffelburg,62.75
Aidan Daniels,57.23
Julian Dunn,57.23
Richie Karyea,56.25
