Characteristic,GDP per capita in U.S. dollars
2026*,680.18
2025*,660.36
2024*,640.13
2023*,617.07
2022*,600.93
2021*,587.6
2020*,540.53
2019,573.51
2018,553.33
2017,456.4
2016,459.14
2015,435.98
2014,425.33
2013,398.63
2012,368.39
2011,334.39
2010,288.02
2009,257.77
2008,280.4
2007,245.82
2006,218.02
2005,189.03
2004,171.72
2003,160.84
2002,165.77
2001,146.54
2000,397.03
1999,410.45
1998,461.12
1997,642.73
1996,731.02
1995,584.27
1994,621.05
1993,1182.37
1992,935.23
1991,1070.24
1990,1138.48
1989,1135.11
1988,1152.29
1987,1027.35
1986,1120.94
