Characteristic,Fan Cost Index in U.S. dollars
New York Knicks,676.42
Los Angeles Lakers,545.08
Chicago Bulls,477.32
Golden State Warriors,471.36
Miami Heat,465.92
Los Angeles Clippers,437.82
Boston Celtics,419.96
Brooklyn Nets,404.6
Houston Rockets,376.42
Phoenix Suns,341.9
NBA League Average,339.02
Milwaukee Bucks,325.85
San Antonio Spurs,325.52
Toronto Raptors,323.69
Washington Wizards,322.82
Portland Trail Blazers,319.2
Denver Nuggets,316.02
Oklahoma City Thunder,296.4
Sacramento Kings,286.56
Minnessota Timberwolves,281.06
Dallas Mavericks,281.02
Philadelphia 76ers,275.74
Utah Jazz,275.74
Cleveland Cavaliers,274.48
Orlando Magic,263.1
Indiana Pacers,257.4
Atlanta Hawks,255.28
Memphis Grizzlies,223.92
New Orleans Pelicans,221.8
Detroit Pistons,215.68
Charlotte Hornets,212.4
