Characteristic,Final consumption expenditure in million euros
United Kingdom,76295.1
Germany,75484.0
Italy,65042.8
France,44854.0
Spain,31871.0
Netherlands,17651.0
Poland,15209.2
Austria,11199.2
Sweden,8530.4
Belgium,10803.2
Portugal,8274.7
Denmark,5746.9
Greece*,4867.5
Finland,4865.0
Romania,5407.6
Ireland,3705.6
Czechia,3662.9
Hungary,2453.9
Slovakia,2075.9
Lithuania,1674.4
Slovenia,1345.7
Bulgaria,1117.0
Luxembourg,1023.6
Estonia,798.5
Latvia,879.0
Cyprus,763.1
Malta,303.0
