Characteristic,Gross domestic product in billion U.S. dollars
2026*,322.6
2025*,312.0
2024*,301.36
2023*,289.56
2022*,277.41
2021*,257.39
2020,231.35
2019,239.54
2018,242.42
2017,221.28
2016,206.37
2015,199.41
2014,229.96
2013,226.44
2012,216.36
2011,245.08
2010,238.31
2009,244.4
2008,263.39
2007,240.52
2006,208.77
2005,197.36
2004,189.3
2003,165.19
2002,134.7
2001,121.61
2000,118.66
1999,127.6
1998,124.12
1997,117.21
1996,122.65
1995,118.18
1994,99.69
1993,95.14
1992,108.12
1991,89.9
1990,79.44
1989,59.81
1988,55.44
1987,47.39
1986,37.87
