Characteristic,GDP per capita in U.S. dollars
2026*,1227.69
2025*,1169.06
2024*,1135.59
2023*,1090.69
2022*,1046.28
2021*,983.38
2020*,897.29
2019*,907.22
2018,922.55
2017,854.98
2016,804.08
2015,772.64
2014,872.03
2013,827.35
2012,801.1
2011,861.87
2010,732.4
2009,722.92
2008,719.33
2007,616.72
2006,639.61
2005,504.44
2004,454.12
2003,404.93
2002,345.81
2001,316.23
2000,277.84
1999,331.78
1998,329.01
1997,325.45
1996,355.7
1995,356.81
1994,282.77
1993,379.11
1992,389.75
1991,387.97
1990,387.84
1989,345.59
1988,287.08
1987,290.08
1986,252.94
