Characteristic,Gross domestic product in billion U.S. dollars
2026*,28.83
2025*,26.65
2024*,25.13
2023*,23.43
2022*,21.82
2021*,19.91
2020*,17.64
2019*,17.31
2018,17.08
2017,15.36
2016,14.02
2015,13.11
2014,14.37
2013,13.24
2012,12.45
2011,12.99
2010,10.7
2009,10.22
2008,9.84
2007,8.16
2006,6.91
2005,6.25
2004,5.45
2003,4.71
2002,3.91
2001,3.47
2000,2.96
1999,3.44
1998,3.33
1997,3.21
1996,3.42
1995,3.34
1994,2.58
1993,3.36
1992,3.37
1991,3.28
1990,3.22
1989,2.83
1988,2.32
1987,2.31
1986,1.98
