Characteristic,Share of respondents
NHS,31%
News sources/outlets (e.g. BBC),29%
World Health Organization,23%
Public Health England,20%
Foreign & Commonwealth Office,15%
Medical websites,11%
Airlines (e.g. via their social media/website/app,11%
Health professional(s),11%
Trending posts on social media,10%
Travel guides/websites (e.g. Lonely Planet),7%
Travel agents,6%
"Booking websites (e.g. Booking.com, Expedia)",6%
Hotels/resorts (e.g. via their social media/website/app),6%
Social media influencers,5%
Other,2%
None of the above,34%
