Characteristic,Number of employees
George Weston Limited*,200000
McCain Foods Limited,17000
Cott Corporation* ***,14200
La Coop fédérée,12541
Maple Leaf Foods*,11000
Agropur Co-operative*,8000
Coca-Cola Refreshments Canada,5600
Kraft Canada Inc.**,4656
Pepsico Canada ULC,4000
Nestlé Canada Inc.,3500
Molson Coors Canada,3100
Premium Brands Holdings Corporation*,3000
Maple Lodge Farms Ltd.**,2900
Exeldor Cooperative Avicole,2225
Lassonde Industries Inc.*,2100
Sunrise Farms,2100
Saputo Inc.*,2000
AGT Food and Ingredients Inc.***,2000
Clearwater Seafoods Limited* **,1900
SunOpta Inc.,1754
High Liner Foods Incorporated*,1293
Gay Lea Foods Co-operative Limited,950
Kellogg Canada Inc.**,850
Rogers Sugar Inc.*,550
