Year,Total expenditure in billion 2019 U.S. dollars
2019-20,27.8
2018-19,28.8
2017-18,30.1
2016-17,28.7
2015-16,30.7
2014-15,33.0
2013-14,34.6
2012-13,35.9
2011-12,38.1
2010-11,42.0
2009-10,35.7
2008-09,21.3
2007-08,18.1
2006-07,16.2
2005-06,16.7
2004-05,17.8
2003-04,17.7
2002-03,16.6
2001-02,14.4
2000-01,11.8
1999-00,11.1
1998-99,11.4
1997-98,10.1
1996-97,9.4
1995-96,9.2
1994-95,9.5
1993-94,10.0
1992-93,11.3
1991-92,10.9
1990-91,9.7
1989-90,9.9
1988-89,9.7
1987-88,8.5
1986-87,8.1
1985-86,8.6
1984-85,7.5
1983-84,7.2
1982-83,6.4
1981-82,6.4
1980-81,7.4
1979-80,8.3
