Characteristic,Revenue in million U.S. dollars
Mar '21,0.97
Feb '21,0.6
Jan '21,2.49
Dec '20,3.1
Nov '20,5.9
Oct '20,3.48
Sept '20,1.97
Aug '20,0.37
Jul '20,0.12
Jun '20*,-
May '20*,-
Apr '20*,-
Mar '20,0.57
Feb '20,-0.3
Jan '20,2
Dec '19,1.53
Nov '19,1.66
Oct '19,2.14
Sep '19,2.12
Aug '19,0.94
Jul '19,0.64
Jun '19,0.46
May '19,0.51
Apr '19,0.74
Mar '19,1.66
Feb '19,0.24
Jan '19,1.59
Dec '18,2.2
Nov '18,1.5
Oct '18,0.65
Sep '18,3.1
Aug '18,1.3
Jul '18,0.49
Jun '18,1.1
