Characteristic,Value of wealth in billion euros
"Liliane Bettencourt (L’Oréal, France)",25.1
"Susanne Klatten (BMW, Germany)",13.1
"Johanna Quandt (BMW, Germany)",10.7
"Charlene Carvalho Heineken (Heineken, Netherlands)",8.1
"Margarita Louis Dreyfus (Louis Dreyfus, Switzerland)",5.6
"Antonia Axson Johnson (Axel Johnson Group, Sweden)",5.6
"Sandra Ortega Mera (Inditex, Spain)",5.2
"Daniela Herz (Mayfair, Germany)",4.6
"Kirsten Rausing (Tetra, Sweden)",4.5
"Elisabeth Mohn (Bertelsmann, Germany)",4.3
