Characteristic,Gross domestic product in billion U.S. dollars
2026*,0.28
2025*,0.27
2024*,0.26
2023*,0.25
2022*,0.24
2021*,0.23
2020*,0.2
2019*,0.2
2018*,0.2
2017,0.19
2016,0.18
2015,0.17
2014,0.18
2013,0.19
2012,0.19
2011,0.18
2010,0.16
2009,0.13
2008,0.14
2007,0.13
2006,0.11
2005,0.11
2004,0.1
2003,0.09
2002,0.07
2001,0.06
2000,0.07
1999,0.07
1998,0.07
1997,0.07
1996,0.07
1995,0.06
1994,0.06
1993,0.05
1992,0.05
1991,0.05
1990,0.04
1989,0.04
1988,0.05
1987,0.07
1986,0.03
