Characteristic,Average crude oil price in U.S. dollars per barrel
2021*,63.16
2020,41.96
2019,64.3
2018,71.34
2017,54.25
2016,43.67
2015,52.32
2014,98.97
2013,108.56
2012,111.63
2011,111.26
2010,79.47
2009,61.51
2008,96.99
2007,72.52
2006,65.14
2005,54.38
2004,38.1
2003,28.83
2002,25.01
2001,24.45
2000,28.4
1999,17.9
1998,12.8
1997,19.1
1996,20.8
1995,17.2
1994,16.0
1993,17.1
1992,19.4
1991,20.1
1990,23.8
1989,18.2
1988,15.0
1987,18.4
1986,14.4
1985,27.5
1984,28.7
1983,29.6
1982,33.0
1981,35.9
1980,36.8
1979,31.6
1978,14.0
1977,13.9
1976,12.8
