Characteristic,Gross domestic product in billion U.S. dollars
2026*,28.9
2025*,26.95
2024*,25.11
2023*,23.46
2022*,21.91
2021*,20.44
2020*,19.08
2019,18.81
2018,18.13
2017,17.06
2016,15.91
2015,14.36
2014,13.27
2013,11.97
2012,10.2
2011,8.96
2010,7.5
2009,6.43
2008,5.95
2007,4.76
2006,3.92
2005,3.05
2004,2.65
2003,2.26
2002,1.84
2001,1.76
2000,1.72
1999,1.42
1998,1.33
1997,3.52
1996,3.73
1995,3.58
1994,3.08
1993,2.65
1992,2.35
1991,2.05
1990,1.74
1989,1.46
1988,1.18
1987,1.82
1986,2.58
