Characteristic,Number of hours watched in millions
2021-05,174.0
2021-04,157.0
2021-03,150.0
2021-02,150.03
2021-01,229.43
2020-12,129.55
2020-11,121.07
2020-10,171.77
2020-09,134.89
2020-08,142.47
2020-07,135.22
2020-06,143.0
2020-05,127.0
2020-04,135.0
2020-03,123.0
2020-02,121.0
2020-01,99.7
2019-12,78.5
2019-11,91.8
2019-10,121.0
2019-09,77.6
2019-08,86.1
2019-07,68.2
2019-06,89.1
2019-05,103.0
2019-04,92.4
2019-03,108.0
2019-02,95.0
2019-01,99.1
2018-12,72.0
2018-11,84.5
2018-10,109.0
2018-09,76.5
2018-08,81.2
2018-07,74.9
2018-06,72.4
2018-05,82.0
2018-04,74.1
2018-03,88.8
2018-02,81.0
2018-01,89.0
