Characteristic,GDP per capita in U.S. dollars
2026*,302.98
2025*,296.64
2024*,290.18
2023*,281.91
2022*,273.56
2021*,265.18
2020*,253.59
2019*,257.44
2018*,271.29
2017*,291.86
2016,281.06
2015,318.99
2014,286.37
2013,267.7
2012,250.12
2011,247.1
2010,231.55
2009,208.78
2008,195.79
2007,170.17
2006,164.58
2005,148.71
2004,122.38
2003,108.07
2002,116.39
2001,127.35
2000,130.23
1999,133.41
1998,141.76
1997,157.05
1996,142.59
1995,167.18
1994,157.47
1993,162.57
1992,187.24
1991,207.67
1990,207.11
1989,213.18
1988,211.18
1987,231.93
1986,253.42
