Characteristic,CPI (the same month last year = 100)
Jiangsu,102%
Ningxia,102%
Shandong,101.9%
Zhejiang,101.9%
Shaanxi,101.9%
Xinjiang,101.7%
Qinghai,101.6%
Tianjin,101.6%
Henan,101.5%
Liaoning,101.4%
Anhui,101.4%
Tibet,101.4%
Jiangxi,101.4%
Hebei,101.3%
National average,101.3%
Guangxi,101.3%
Shanghai,101.2%
Chongqing,101.2%
Shanxi,101.2%
Fujian,101.2%
Beijing,101.2%
Guangdong,101.1%
Gansu,101.1%
Inner Mongolia,101.1%
Hubei,101%
Heilongjiang,101%
Jilin,100.9%
Sichuan,100.9%
Hunan,100.9%
Yunnan,100.8%
Hainan,100.7%
Guizhou,100.4%
