Characteristic,Revenues in million U.S. dollars
Q4 '20,617.36
Q3 '20,451.48
Q2 '20,428.74
Q1 '20,228.06
Q4 '19,270.0
Q3 '19,197.95
Q2 '19,181.1
Q1 '19,169.34
Q4 '18,200.03
Q3 '18,150.37
Q2 '18,132.39
Q1 '18,120.91
Q4 '17,136.27
Q3 '17,106.38
Q2 '17,101.69
Q1 '17,96.89
Q4 '16,110.21
Q3 '16,87.56
Q2 '16,85.35
Q1 '16,81.85
Q4 '15,87.9
Q3 '15,65.7
Q2 '15,61.37
Q1 '15,58.54
Q4 '14,64.91
Q3 '14,47.63
Q2 '14,42.51
Q1 '14,40.54
Q4 '13,41.56
Q3 '13,29.96
Q2 '13,27.36
Q1 '13,26.14
