Characteristic,Metric tons of waste collected
Q4 '20,126495
Q3 '20,134725
Q2 '20,64424
Q1 '20,134093
Q4 '19,118861
Q3 '19,131720
Q2 '19,122982
Q1 '19,122951
Q4 '18,114554
Q3 '18,126367
Q2 '18,131030
Q1 '18,121372
Q4 '17,119230
Q3 '17,135297
Q2 '17,133832
Q1 '17,136721
Q4 '16,133898
Q3 '16,148367
Q2 '16,150993
Q1 '16,146999
Q4 '15,127653
Q3 '15,131207
Q2 '15,128826
Q1 '15,127741
Q4 '14,122406
Q3 '14,128662
Q2 '14,121974
Q1 '14,118838
Q4 '13,115754
Q3 '13,123672
Q2 '13,120650
Q1 '13,112804
