Characteristic,Complaints opened,Complaints closed
HSBC UK Bank Plc,146.4,149.53
Barclays Bank UK PLC,125.27,129.47
Lloyds Bank PLC,97.63,89.55
National Westminster Bank Plc,92.34,92.26
Santander UK Plc,76.04,76.15
Bank of Scotland plc,63.89,61.11
Nationwide Building Society,46.06,46.51
TSB Bank plc,34.42,33.95
Clydesdale Bank Plc,30.24,30.61
Monzo Bank Ltd,24.96,24.44
"Royal Bank of Scotland Plc, The",24.54,26.11
Capital One (Europe) plc,23.36,23.57
Marks & Spencer Financial Services Plc,16.39,16.66
Tesco Personal Finance PLC,15.22,15.22
Bank of Ireland (UK) Plc,13.11,13.12
