Characteristic,GDP in billion U.S. dollars
2026*,924.2
2025*,861.83
2024*,805.91
2023*,752.83
2022*,697.43
2021*,642.12
2020,594.18
2019,595.77
2018,587.43
2017,526.75
2016,472.26
2015,477.58
2014,545.28
2013,524.41
2012,500.85
2011,528.57
2010,479.16
2009,440.14
2008,533.8
2007,429.47
2006,344.76
2005,306.15
2004,255.28
2003,217.51
2002,198.68
2001,190.43
2000,171.28
1999,167.8
1998,172.05
1997,157.18
1996,156.68
1995,139.09
1994,103.68
1993,90.37
1992,88.71
1991,80.45
1990,62.08
1989,66.9
1988,68.61
1987,63.71
1986,73.68
