Company (Country of origin),Retail revenue in billion U.S. dollars
Amazon.com (United States),79.27
JD.com Inc. (China),26.99
Apple Inc. (United States),24.37
"Walmart Stores, Inc. (United States)",13.7
Suning Commerce Group Co. Ltd. (China),8.1
Otto GmbH & Co KG (Germany),7.18
Tesco PLC (UK),6.54
Vipshop Holdings (China),6.08
Liberty Interactive Corporation (United States),5.15
Macy's Inc. (United States),4.85
The Home Depot Inc. (United States),4.69
Best Buy Co. Inc. (United Kingdom),4.0
Casino Guichard-Perrachon S.A. (France),3.76
Costco Wholesale Operation (United States),3.5
Zalando SE (Germany),3.29
Home Retail Group PLC (United Kingdom),3.04
John Lewis Partnership plc (United Kingdom),3.0
"Nordstrom, Inc. (United States)",2.83
Kohl's Corporation (United States),2.8
Shop Direct Group (United Kingdom),2.76
