Characteristic,2016,2017
France,2260,2314
Great Britain,1170,1602
Switzerland,667,661
Germany,660,688
The Netherlands,581,610
Spain,341,341
Austria,328,330
Italy,323,312
Portugal,296,309
Greece,269,260
Czech Republic,225,240
Monaco ***,-,223
Slovenia,159,167
Poland,127,173
Sweden,123,116
Belgium ****,114,94
Hungary,93,107
Denmark,61,60
Estonia **,54,60
Luxembourg,40,41
Lithuania,31,31
Slovakia,28,31
Finland,29,30
Latvia,17,20
San Marino,17,17
Serbia,9,11
Montenegro ****,11,10
