Characteristic,Men,Women
Equal pay / fair pay,37%,41%
"Equal opportunity for promotion, advancement/no gender discrimination",21%,20%
Jobs/unemployment/availability of jobs,8%,8%
"Sexual harassment / better treatment, more respect in workplace",9%,7%
Access to childcare / better childcare,3%,10%
Balancing work and home life,3%,9%
Healthcare,3%,7%
Maternity leave/family leave/ time off for family matters,3%,3%
Abortion/access to contraception,2%,2%
The economy (non-specific),2%,2%
Education/access to education,1%,1%
Other,6%,5%
No opinion,20%,12%
