Characteristic,Fatal injuries to workers
2019/20,111
2018/19,147
2017/18,141
2016/17,135
2015/16,147
2014/15,142
2013/14,136
2012/13,150
2011/12,171
2010/11,175
2009/10,147
2008/09,179
2007/08,233
2006/07,247
2005/06,217
2004/05,223
2003/04,236
2002/03,227
2001/02,251
2000/01,292
1999/00,220
1998/99,253
1997/98,274
1996/97,287
1995/96,258
1994/95,272
1993/94,296
1992/93,339
1991/92,368
1990/91,433
1989/90,475
1988/89,609
1987/88,445
1986/87,407
1985,471
1984,498
1983,513
1982,520
1981,495
1980,440
1979,492
1978,499
1977,524
1976,586
1975,620
1974,651
