Characteristic,Units sold
Jan '21,173
Dec '20,654
Nov '20,439
Oct '20,600
Sep '20,1035
Aug '20,592
Jul '20,950
Jun '20,985
May '20,434
Apr '20,133
Mar '20,1157
Feb 20,314
Jan '20,454
Dec '19,385
Nov '19,372
Oct '19,443
Sep '19,937
Aug '19,484
July '19,752
Jun '19,916
May '19,883
Apr '19,753
Mar '19,1487
Feb '19,337
Jan '19,336
Dec '18,476
Nov '18,339
Oct '18,435
Sep '18,1048
Aug '18,510
Jul '18,722
Jun '18,1068
May '18,861
Apr '18,732
Mar '18,1405
Feb '18,257
Jan '18,395
