Characteristic,Market (transfer) value in million euros
Jonathan David (KAA Gent),22.5
Krépin Diatta (Club Brugge),19.0
Yari Verschaeren (RSC Anderlecht),13.5
Zinho Vanheusden (Standard Luik),13.5
Emmanuel Dennis (Club Brugge),13.5
Hans Vanaken (Club Brugge),12.0
Alber Sambi Lokonga (RSC Anderlecht),10.0
Roman Yaremchuk (KAA Gent),9.5
Jérémy Doku (RSC Anderlecht),9.0
Joakim Maehle (KRC Genk),8.0
Simon Mignolet (Club Brugge),8.0
Nacer Chadli (RSC Anderlecht),8.0
Charles De Ketelaere (Club Brugge),7.6
Jhon Lucumí (KRC Genk),7.2
Giorgi Chakvetadze (KAA Gent),6.7
Clinton Mata (Club Brugge),6.5
Wesley Hoedt (Royal Antwerp FC),6.5
Elisha Owusu (KAA Gent),6.0
Marko Pjaca (RSC Anderlecht),6.0
Simon Deli (Club Brugge),5.5
Michel Vlap (RSC Anderlecht),5.5
David Okereke (Club Brugge),5.5
Hendrik van Crombrugge (RSC Anderlecht),5.5
Bryan Heynen (KRC Genk),5.5
Paul Onuachu (KRC Genk),5.2
