Characteristic,Salary in thousand U.S. dollars
Toronto FC,758.35
LA Galaxy,654.57
New York City FC,371.98
Chicago Fire,611.25
Los Angeles FC,509.99
Seattle Sounders FC,488.51
Portland Timbers,464.96
Montreal Impact,438.41
Colorado Rapids,307.14
Atlanta United,404.91
Sporting Kansas City,416.23
Orlando City SC,419.11
Philadelphia Union,339.82
FC Dallas,284.11
Real Salt Lake,358.64
New England Revolution,408.01
Minnesota United FC,379.73
San Jose Earthquakes,342.58
New York Red Bulls,298.93
D.C. United,377.6
Columbus Crew SC,366.02
Vancouver Whitecaps FC,271.74
Houston Dynamo,312.32
FC Cincinnati,289.85
